Uniq,Season,WTeamID,NumWin,NumLost,Win,Avg.Score,FG,Avg.FGM,X3PT,Avg.FGM3,FT,Avg.FTM,Avg.Rebound_Off,Avg.Rebound_Def,Avg.Rebound_Total,Avg.Stl,Avg.Blk,Avg.PF,Avg.TO,Avg.Ast,Seed,TeamName,FirstD1Season,LastD1Season,ConfAbbrev,Description,Regular.Season.Champ,Conf..Tourney.Champ,March.Madness.Champ,NumChamp
1,2003,1102,12,16,42.86,57.25,48.11,19.14,37.56,7.82,65.14,11.14,4.18,16.82,21,5.96,1.79,18.75,11.43,13,0,Air Force,1985,2018,mwc,Mountain West Conference,0,0,0,0
2,2003,1103,13,14,48.15,78.78,48.61,27.15,33.87,5.44,73.64,19.04,9.78,19.93,29.7,7.26,2.33,19.85,12.63,15.22,0,Akron,1985,2018,mac,Mid-American Conference,0,0,0,0
3,2003,1104,17,11,60.71,69.29,42.04,24.04,32.01,6.36,70.99,14.86,13.57,23.93,37.5,6.61,3.79,18.04,13.29,12.11,10,Alabama,1985,2018,sec,Southeastern Conference,0,0,0,0
4,2003,1105,7,19,26.92,71.77,39.58,24.38,36.48,7.58,70.6,15.42,13.5,23.12,36.62,9.31,2.08,20.23,18.65,14.54,0,Alabama A&M,2000,2018,swac,Southwest Athletic Conference,0,0,0,0
5,2003,1106,13,15,46.43,63.61,42.38,23.43,34.62,6.11,64.64,10.64,12.29,23.86,36.14,8.36,3.14,18.18,17.04,11.68,0,Alabama St,1985,2018,swac,Southwest Athletic Conference,0,0,0,0
6,2003,1107,7,21,25,65.93,41.83,24.04,35.75,7.93,73.35,9.93,8.25,20.25,28.5,6.86,2.04,15.89,12.57,11.93,0,Albany NY,2000,2018,aec,America East Conference,0,0,0,0
7,2003,1108,14,19,42.42,69.09,42.47,24.94,31.91,5.21,66.86,14,13.12,23.21,36.33,8.18,3.52,19.67,18.45,13.85,0,Alcorn St,1985,2018,swac,Southwest Athletic Conference,0,0,0,0
8,2003,1110,16,14,53.33,66.37,43.28,23.17,37.9,8.77,68.15,11.27,10,23.13,33.13,6.4,1.73,18.13,13.17,14.23,0,American Univ,1985,2018,patriot,Patriot League,0,0,0,0
9,2003,1111,16,10,61.54,83.27,44.36,28.62,32.75,7.19,71.95,18.85,13,25.31,38.31,9.85,4.62,18.69,16.19,15.23,0,Appalachian St,1985,2018,southern,Southern Conference,0,0,0,0
10,2003,1112,25,3,89.29,85.21,46.14,30.32,35.05,7.04,70.14,17.54,15.18,27.64,42.82,8.46,4.21,17.75,14.79,17.64,1,Arizona,1985,2018,pac_ten,Pacific-10 Conference,1,0,0,1
11,2003,1113,18,11,62.07,75.97,47.82,27.21,31.78,4,66.97,17.55,13.69,23.31,37,5.21,4.24,19.41,14,15.55,10,Arizona St,1985,2018,pac_ten,Pacific-10 Conference,0,0,0,0
12,2003,1114,16,12,57.14,70.04,44.83,23.86,37.11,6.79,69.27,15.54,10.54,22.86,33.39,6.61,2.36,20.5,15.96,11.5,0,Ark Little Rock,1985,2018,sun_belt,Sun Belt Conference,0,0,0,0
13,2003,1115,4,24,14.29,54.5,35.46,19.25,28.18,4.75,63.89,11.25,9.96,21.04,31,7.96,2.75,20.25,19.11,10.18,0,Ark Pine Bluff,1999,2018,swac,Southwest Athletic Conference,0,0,0,0
14,2003,1116,9,19,32.14,61.64,39.27,21.82,31.02,6.07,60.95,11.93,14.54,23.43,37.96,6.46,3.54,20.93,16.68,9.82,0,Arkansas,1985,2018,sec,Southeastern Conference,0,0,0,0
15,2003,1117,11,15,42.31,71.12,43.32,23.69,37.12,7.92,73.79,15.81,10.96,20.38,31.35,7.15,1.65,21.42,13.27,11.92,0,Arkansas St,1985,2018,sun_belt,Sun Belt Conference,0,0,0,0
16,2003,1119,3,22,12,53.68,41.18,19.6,35.59,5.88,67.61,8.6,7.92,21.56,29.48,5.56,1.6,19.32,17.36,11.72,0,Army,1985,2018,patriot,Patriot League,0,0,0,0
17,2003,1120,19,11,63.33,70.1,46.98,25.7,34.49,5.63,66.22,13.07,11.93,22.57,34.5,8.03,4.97,16.37,15.9,13.4,10,Auburn,1985,2018,sec,Southeastern Conference,0,0,0,0
18,2003,1122,20,7,74.07,69.7,45.23,23.56,34.91,6,69.14,16.59,10.63,24.22,34.85,7.04,4.67,18.67,15.22,13.41,13,Austin Peay,1985,2018,ovc,Ohio Valley Conference,0,0,0,0
19,2003,1123,13,17,43.33,73.3,42.89,25.93,32.2,5.37,72.59,16.07,13.17,21.73,34.9,5.2,2.2,22.87,12.83,10.5,0,Ball St,1985,2018,mac,Mid-American Conference,0,0,0,0
20,2003,1124,14,14,50,69,40.7,23.61,34.19,9.07,72.51,12.71,11.71,23.18,34.89,8.32,2.96,15.75,13.29,14.21,0,Baylor,1985,2018,big_twelve,Big 12 Conference,0,0,0,0
21,2003,1125,16,12,57.14,72.46,46.58,25.5,36.76,8.18,70.19,13.29,10.54,23.64,34.18,9.07,1.71,18.36,16.93,16.89,0,Belmont,2000,2018,a_sun,Atlantic Sun Conference,0,0,0,0
22,2003,1126,8,22,26.67,64.7,41.32,23.1,35.77,5.7,69.31,12.8,12.3,20.43,32.73,8.27,1.8,19.43,15.87,10.97,0,Bethune-Cookman,1985,2018,meac,Mid-Eastern Athletic Conference,0,0,0,0
23,2003,1127,14,13,51.85,66.56,42.03,24.04,34.97,7.67,67.59,10.81,11.7,24.22,35.93,6.44,6.48,18.26,15.07,12.7,0,Binghamton,2002,2018,aec,America East Conference,0,0,0,0
24,2003,1128,17,9,65.38,67.85,44.28,22.04,35.52,7.69,72.32,16.08,10.65,21.46,32.12,7.88,3.96,18.08,15.65,13.38,0,Birmingham So,2003,2006,ind,Independent,0,0,0,0
25,2003,1129,12,16,42.86,65.89,41.07,23.07,29.77,5.18,69.74,14.57,11.18,21.93,33.11,6.64,3.82,19.5,14.39,11.64,0,Boise St,1985,2018,wac,Western Athletic Conference,0,0,0,0
26,2003,1130,18,11,62.07,79.66,46.88,27.97,34.46,6,69.09,17.72,13.79,22.07,35.86,7,2.9,18.97,13.34,17,0,Boston College,1985,2018,big_east,Big East Conference,1,0,0,1
27,2003,1131,20,10,66.67,68.1,43.05,23.63,33.97,6.57,74.31,14.27,11,24.4,35.4,5.7,3.47,20.17,13.37,13.57,0,Boston Univ,1985,2018,aec,America East Conference,0,0,0,0
28,2003,1132,11,16,40.74,66.48,43.87,21.22,36.58,6.26,73.73,17.78,8.67,22.11,30.78,7.15,2.52,22.19,16.67,12.74,0,Bowling Green,1985,2018,mac,Mid-American Conference,0,0,0,0
29,2003,1133,11,18,37.93,72.31,43.64,24.72,35.92,6.38,70.4,16.48,11,23.24,34.24,7.45,1.69,20.34,14.17,12.55,0,Bradley,1985,2018,mvc,Missouri Valley Conference,0,0,0,0
30,2003,1135,17,11,60.71,73.96,46.15,24.39,37.02,6.57,74.43,18.61,9.54,23.36,32.89,7.64,3.68,17.61,15.68,14.57,0,Brown,1985,2018,ivy,Ivy League,0,0,0,0
31,2003,1137,13,15,46.43,57.68,40.43,19,33.82,5.82,63.71,13.86,9.71,22.04,31.75,5.79,2.14,17.79,15.82,11.68,0,Bucknell,1985,2018,patriot,Patriot League,0,0,0,0
32,2003,1138,5,23,17.86,64.82,40.2,23.29,29.21,5.39,67.16,12.86,13.57,22.64,36.21,6.43,2.07,22.71,14.5,12.64,0,Buffalo,1992,2018,mac,Mid-American Conference,0,0,0,0
33,2003,1139,24,5,82.76,68.59,47.52,24.07,38.8,8.48,72.29,11.97,7.83,20.38,28.21,6.34,1.86,16.07,10.41,12.97,12,Butler,1985,2018,horizon,Horizon League,0,0,0,0
34,2003,1140,23,8,74.19,72.45,46.88,24.03,38.4,6.19,75.3,18.19,10.87,24.42,35.29,6.94,2.52,21.42,13.74,13.42,12,BYU,1985,2018,mwc,Mountain West Conference,0,0,0,0
35,2003,1141,23,6,79.31,79.34,50.52,26.62,38.08,6.83,76.58,19.28,10.59,23.28,33.86,7.1,4,20.97,18.24,15.62,11,C Michigan,1985,2018,mac,Mid-American Conference,0,0,0,0
36,2003,1142,15,14,51.72,67.52,42.46,23.59,31.74,6.41,71.63,13.93,11.52,23.38,34.9,6.97,3.83,19.45,15.83,12.45,0,Cal Poly SLO,1995,2018,big_west,Big West Conference,0,0,0,0
37,2003,1143,21,8,72.41,74.48,46.56,27.34,37.65,6.41,68.55,13.38,11.24,24.38,35.62,6.55,2.79,17.1,14.17,16,8,California,1985,2018,pac_ten,Pacific-10 Conference,0,0,0,0
38,2003,1144,4,22,15.38,65.04,44.09,22.96,34.98,6.27,69.87,12.85,7.85,19.85,27.69,6.19,2.73,16.58,16,14.5,0,Campbell,1985,2018,a_sun,Atlantic Sun Conference,0,0,0,0
39,2003,1145,10,18,35.71,70.25,43.88,26.39,34.37,5.93,70.52,11.54,11.5,25.25,36.75,8.14,3.39,19.36,14.32,15.64,0,Canisius,1985,2018,maac,Metro Atlantic Athletic Conference,0,0,0,0
40,2003,1147,10,14,41.67,72.62,45.28,25.38,31.9,4.33,76.97,17.54,11.04,18.5,29.54,8.12,3.71,20.42,16.08,12.04,0,Centenary,1985,2011,ind,Independent,0,0,0,0
41,2003,1148,15,13,53.57,67.54,46.25,24.43,37.59,5.36,74.75,13.32,11.5,21.89,33.39,5.79,1.64,15.54,15.46,11.46,0,Central Conn,1987,2018,nec,Northeast Conference,0,0,0,0
42,2003,1149,12,14,46.15,64.69,44.2,24.35,27.86,3.85,74.53,12.15,10.77,21.27,32.04,9.77,3.19,19.23,14.65,12.46,0,Charleston So,1985,2018,big_south,Big South Conference,0,0,0,0
43,2003,1150,13,16,44.83,68.45,39.62,23.83,33.29,7.97,63.37,12.83,14.66,23.28,37.93,8.48,2.03,18.34,13.72,14.52,0,Charlotte,1985,2018,cusa,Conference USA,0,0,0,0
44,2003,1151,19,9,67.86,79.82,47.89,27.5,36.86,7.46,75.94,17.36,12.61,23.07,35.68,7.14,3.18,18.57,16.46,16.18,0,Chattanooga,1985,2018,southern,Southern Conference,0,0,0,0
45,2003,1152,3,27,10,63.2,44.21,23.53,33.24,3.8,61.77,12.33,12.03,20.73,32.77,7.2,1.67,22.03,17.43,12.1,0,Chicago St,1985,2018,mid_cont,Mid-Continent Conference,0,0,0,0
46,2003,1153,17,11,60.71,67.32,40.39,22.89,34.25,6.68,68.99,14.86,12.14,23.39,35.54,5.18,4.25,18.96,10.61,12.29,8,Cincinnati,1985,2018,cusa,Conference USA,0,0,0,0
47,2003,1154,4,20,16.67,63.08,40.05,21.79,31.36,6.17,66.39,13.33,11,21.67,32.67,7.46,3.04,20.12,16.33,13.08,0,Citadel,1985,2018,southern,Southern Conference,0,0,0,0
48,2003,1155,15,13,53.57,68.43,44.17,24.46,34.7,4.82,65.65,14.68,13.43,22.43,35.86,7.11,2.64,19.11,13.46,12.54,0,Clemson,1985,2018,acc,Atlantic Coast Conference,0,0,0,0
49,2003,1156,8,22,26.67,65.63,44.61,22.9,37.11,5.9,65.93,13.93,10.43,21,31.43,7.07,4.43,19.47,17.23,13.53,0,Cleveland St,1985,2018,horizon,Horizon League,0,0,0,0
50,2003,1157,11,15,42.31,67.27,43.46,23.88,36.87,5.88,73.29,13.62,13.35,22.12,35.46,6.23,1.58,21.19,16.85,12.23,0,Coastal Car,1987,2018,big_south,Big South Conference,0,0,0,0
51,2003,1158,22,7,75.86,73.34,43.61,25.31,39.08,9.07,68.51,13.66,10.9,23.93,34.83,7.34,4.38,18.93,14.07,14.45,0,Col Charleston,1992,2018,southern,Southern Conference,0,0,0,0
