No,Title,Writer,Date,Status
16448,Access Denied Error 관련 문의,김***,2018-01-03,접수대기
16447,공항데이터 관련,길***,2018-01-03,완료
16446,익스플로러에서 접속하면 오류가 뜨고 안됩니다.,이***,2018-01-03,완료
16445,나라장터 계약정보서비스 OPEN-API 조회구분 관련 문의,박***,2018-01-03,완료
16444,울산시 버스 도착정보 오류 문의,홍***,2018-01-03,완료
16443,데이터가 안나와요,이***,2018-01-03,완료
16442,신동네예보 동네예보조회에 관해서..,정***,2018-01-03,완료
16434,아파트 전월세 자료 조희,J******,2018-01-01,완료
16436,자치구 직원용 참고 책자파일을 상업적으로 사용 가능한지?,전***,2018-01-02,완료
16435,약국정보조회 서비스키,한***,2018-01-02,완료
16437,공공데이터포털 사이트가 역변을 하였군요.,이***,2018-01-02,완료
16438,의료계열쪽 api 가 전부 먹통입니다.,김***,2018-01-02,완료
16439,온라인 수집 가격 정보,정***,2018-01-02,완료
16433,기상청 지진정보 공공데이터,최***,2017-12-31,완료
16432,공공데이터와 지자체 데이터의 정보전달,김***,2017-12-30,완료
16431,경주마 조회 서비스 오류,김***,2017-12-30,완료
16430,인증키 확인요청합니다.,조***,2017-12-30,완료
16429,국토부 전월세 API관련하여 궁금한 점이 있습니다.,이***,2017-12-29,완료
16427,&quot;도시계획 실시계획인가정보서비스&quot; 서비스 오류가 발생 합니다.,김***,2017-12-29,완료
16422,python3 api encoding &#x2F; http error,김***,2017-12-28,완료
16409,건축물 대장과 건출물 에너지 api 관련,송***,2017-12-26,완료
16421,왜안되나요,김***,2017-12-28,완료
16420,기관회원 관련,길***,2017-12-28,완료
16419,출력값이 다르게 나옵니다,정***,2017-12-27,완료
16418,정보가 잘못나왔습니다.,이***,2017-12-27,완료
16417,Open api 샘플 python 코드 실행 중 에러,장***,2017-12-27,완료
16416,출전표 조회 서비스 오류,김***,2017-12-27,완료
16399,또 데이터 이상하네요....T.T,윤***,2017-12-23,완료
16415,경주성적표 조회 서비스 오류,김***,2017-12-27,완료
16414,LIMITED NUMBER OF SERVICE REQUESTS EXCEEDS ERROR.,신***,2017-12-26,완료
16404,api오류,최***,2017-12-26,완료
16398,실시간 어장정보 14일 이후로 API데이터 제공안됨,이***,2017-12-23,완료
16410,open api 포맷종류,곽***,2017-12-26,완료
16405,공공데이타 문의,최***,2017-12-26,완료
16400,사망교통사고정보서비스,김***,2017-12-25,완료
16402,운영 계정 변경 신청 철회,(******,2017-12-25,완료
16403,데이터가 조금 이상하네요,김***,2017-12-26,완료
16394,지진정보조회 서비스 질문입니다.,최***,2017-12-22,완료
16396,오타 신고합니다.,한***,2017-12-22,완료
16393,기상청 초단기실황조회 관련 정책 문의,곽***,2017-12-22,완료
16392,군수품조달정보 입찰공고서비스 국내 경쟁입찰공고 목록 관련 추가요청입니다,지***,2017-12-22,완료
16391,도착정보조회서비스 정류소별도착예정정보목록조회 관련 궁금한게 있습니다.,배***,2017-12-21,완료
16389,안녕하세요 api요청건 때문에 문의 드립니다.,유***,2017-12-21,완료
16387,"service error, http error 가 뜹니다.",한***,2017-12-21,완료
16388,api 대한 service key register 에러에 관련되어서,송***,2017-12-21,완료
16386,공공데이터 시각화 삭제 요청,함***,2017-12-20,완료
16384,api 활용신청 문의,김***,2017-12-19,완료
