No,Title,Writer,Date,Status
14036,SERVICE KEY IS NOT REGISTERED ERROR  오류,강***,2017-04-02,완료
14029,신규 동네예보정보조회 API 기준 시간 관련 문의,박***,2017-03-31,완료
14028,정류소정보조회 서비스 트래픽 관련 질문입니다.,한***,2017-03-31,완료
14024,국회도서관 OPENAPI 검색 문의,이***,2017-03-31,완료
14021,데이터 추가 요청합니다,이***,2017-03-31,완료
13988,Server returned HTTP response code: 500,유******,2017-03-29,완료
14009,Server returned HTTP response code: 500 for URL 에러 문의,박***,2017-03-30,완료
14013,아파트 전월세 자료 API 문의,임***,2017-03-30,완료
14016,추가 데이터 문의드립니다,태***,2017-03-30,완료
14014,장기요양기관 검색 서비스 오류,박***,2017-03-30,완료
14010,수요기관조회가 되지 않습니다.,유***,2017-03-30,완료
14007,공공 데이터 열람 오류,김***,2017-03-30,완료
14008,국민연금 사업장정보조회 에러가 발생하네요.,백***,2017-03-30,완료
14006,서비스키 오류,박***,2017-03-29,완료
14003,좌표기반근접정류소목록조회 시 잘못된 응답메시지 리턴,박***,2017-03-29,완료
13762,전국장애인편의시설정보조회 API 문의,박***,2017-03-08,완료
14002,SERVICE KEY IS NOT REGISTERED ERROR 떠요,박***,2017-03-29,완료
13977,"오픈API 활용 신청 후, 인증키",유***,2017-03-28,완료
13998,SERVICE KEY IS NOT REGISTERED ERROR.,이***,2017-03-29,완료
13995,서버용 키 재발급 받았는데 등록되지 않은 서비스키라고 하네요..,박***,2017-03-29,완료
14000,imgUrl 문의,김***,2017-03-29,완료
13997,open api 중 '봉사참여정보서비스' 관련,임***,2017-03-29,완료
13993,심의 기간,이***,2017-03-29,완료
13992,결과값,유***,2017-03-29,완료
13989,등록되지 않은 키라고 출력됩니다.,김***,2017-03-29,완료
13985,사업장 정보조회 서비스 기능,곽***,2017-03-28,완료
13984,인천시부평구 삼산1동,박***,2017-03-28,완료
13983,동네예보 초단기실황조회 SERVICE ACCESS DENIED ERROR.,문***,2017-03-28,완료
13979,SERVICE KEY IS NOT REGISTERED ERROR,조***,2017-03-28,완료
13981,관광용어 외국어 용례사전,박***,2017-03-28,완료
13980,관광용어 외국어 용례사전 API에 대해서 여쭤보고자 합니다.,박***,2017-03-28,완료
13976,SERVICE KEY IS NOT REGISTERED ERROR,이***,2017-03-28,완료
13975,기상청 중기예보>육상예보 문의합니다.,김***,2017-03-28,완료
13973,공공API,문***,2017-03-28,완료
13972,관광용어 외국어 용례사전 API에 대해서,박***,2017-03-28,완료
13971,위도경도 데이터 문의,장***,2017-03-28,완료
13969,중지신청 취소하고 싶은데 어떻게 해야하나요,여****,2017-03-28,완료
13968,(수정)어제 복구됐다고 답변이 왔는데  DEADLINE_HAS_EXPIRED_ERROR,여****,2017-03-28,완료
13964,문제점이 있네요.,이***,2017-03-27,완료
13966,대기오염정보 조회 실패. 인증키 문제,임***,2017-03-27,완료
13965,자동승인이라고 키를 발급받았는데 등록되지 않은 키라고 하네요..,류***,2017-03-27,완료
13967,대한민국공공서비스상세 API,곽***,2017-03-28,완료
13954,여행금지 정상적으로 되지 않습니다,여****,2017-03-27,완료
13961,오늘 오전에 인증키 발급이 되었는데 접속이 안되서 문의글 남깁니다.,조***,2017-03-27,완료
13960,무단횡단 사고정보,윤***,2017-03-27,완료
13959,오류 수정이 안됩니다,이***,2017-03-27,완료
13957,사고다발지역 관련하여 문의 합니다.,박***,2017-03-27,완료
13955,통계지표 요청,김***,2017-03-27,완료
13953,SERVICE ACCESS DENIED ERROR,한***,2017-03-27,완료
13952,인증키 사용 관련 문의,한***,2017-03-27,완료
13947,생활불편신고 API 신청... 대기중,보***,2017-03-26,완료
13949,일일 트래픽 한도 초과 문의,조***,2017-03-26,완료
13942,위도경도 데이터 문의,장***,2017-03-24,완료
13948,노숙자현황 및 노숙자 수용시설 년도별 데이터 부탁드립니다,장***,2017-03-26,완료
13950,아파트 관리비 API,김***,2017-03-26,완료
13944,우편번호 조회가 왜 갑자기 안되나요?,민***,2017-03-24,완료
13937,문의 합니다,송***,2017-03-24,완료
13938,특일 정보제공 서비스 API 문의,김**,2017-03-24,완료
13934,Key인증실패,송***,2017-03-24,완료
13925,실무관리자 입니다.,장***,2017-03-23,완료
13926,경기도 버스 정보 api 연장 신청 반려,황***,2017-03-23,완료
13929,운영계정 전환 후 인증키를 발급받았는데요 서비스 등록이 안됩니다,최***,2017-03-23,완료
13928,현재 개발개정입니다.,한***,2017-03-23,완료
13927,api 사용여부 확인,송***,2017-03-23,완료
13924,대기정보 서비스 활용제한 이유?,최***,2017-03-23,완료
13923,SERVICE ACCESS DENIED ERROR.,최***,2017-03-23,완료
13922,SERVICE KEY IS NOT REGISTERED ERROR,이***,2017-03-23,완료
13920,LIMITED NUMBER OF SERVICE REQUESTS EXCEEDS ERROR,송***,2017-03-23,완료
13917,물질안전보건자료 요청 URL 입니다~~,백***,2017-03-23,완료
