No,Title,Writer,Date,Status
6811,버스 api 에러코드 20에 관하여,이***,2015-07-03,완료
6813,첨부문서대로 결과값이 나오지 않습니다. 문의만 3번째네요.,박***,2015-07-03,완료
6805,인증키 인증이 안되어있다고 오류가 뜨네요,변***,2015-07-03,완료
6801,나라장터 낙찰공고관련 일부 공고 트래픽초과 오류 문의,강***,2015-07-02,완료
6799,크롬 브라우저에서 글쓰기가 안됩니다.,김***,2015-07-02,완료
6800,인증키가 등록되지 않은 에러가 계속 됩니다.,김***,2015-07-02,완료
6798,INVALID REQUEST PARAMETER ERRO,김***,2015-07-02,완료
6797,버스관련문의입니다.,조***,2015-07-02,완료
6795,동네예보 REST 호출 관련 문의 입니다.,오***,2015-07-02,완료
6790,데이터활용방법 및 일반질의,김***,2015-07-02,완료
6785,Response 로 아무런 리스트가 나오지 않습니다.,김***,2015-07-01,완료
6784,SERVICE KEY IS NOT REGISTERED ERROR.,김***,2015-07-01,완료
6783,정부3.0정보공개 홈페이지 미공개 항목에 대한 문의,안***,2015-07-01,완료
6781,버스,김***,2015-07-01,완료
6775,GHS 분류 · 표시 정보 AIP관련 문의드립니다.,조***,2015-06-30,완료
6744,문의 드립니다!,곽***,2015-06-24,완료
6777,심평원 데이터 문의,황***,2015-06-30,완료
6774,데이터 요청 방식,김***,2015-06-29,완료
6778,아직도 이상하게 나오고 있습니다.,이***,2015-06-30,완료
6773,재문의,김***,2015-06-29,완료
6771,동네예보조회서비스 API,김***,2015-06-29,완료
6760,[의약품허가정보조회] API 관련 문의 입니다.,이***,2015-06-26,완료
6764,공공api xml파싱하는법 예제를 구하고 싶습니다.,강***,2015-06-26,완료
6765,대기오염 서비스 관련하여 문의드립니다.,여***,2015-06-26,완료
6762,어장API,김***,2015-06-26,완료
6757,데이터포맷 : JSON 에 관한 문의,한***,2015-06-26,완료
6752,질문입니다.,이***,2015-06-25,완료
6747,문의드립니다.,이***,2015-06-24,완료
6743,TourAPI데이터 좌표값 문의,박***,2015-06-24,완료
6741,재문의,김***,2015-06-24,완료
6737,CASNO 정보 API관련 문의드립니다.,조***,2015-06-24,완료
6738,TourApi 데이터 좌표값,박***,2015-06-24,완료
6736,어장 API 문의,김***,2015-06-24,완료
6734,축산물통합이력정보제공 기술문서와 실제 리턴 데이터 다름.,박***,2015-06-24,완료
6733,API 사용 문의 드립니다.,김***,2015-06-24,완료
6683,재질문 및 기준제시 부탁드립니다.,김***,2015-06-16,완료
6730,SERVICE KEY IS NOT REGISTERED ERROR,조***,2015-06-23,완료
6729,NO OPENAPI SERVICE ERROR.,안***,2015-06-23,완료
6724,기상특보 API 관련 문의,권***,2015-06-23,완료
6723,동네예보 API 관련 문의,권***,2015-06-23,완료
6720,투어API 중국어 간체 문의,박***,2015-06-22,완료
6719,SERVICE KEY IS NOT REGISTERED ERROR,안***,2015-06-22,완료
6718,SERVICE KEY IS NOT REGISTERED ERROR.,서***,2015-06-22,완료
6706,"나라장터 입찰정보 제공 항목중 ""투찰 하한율""정보제공요청",문***,2015-06-20,완료
6712,SERVICE KEY IS NOT REGISTERED ERROR.,이***,2015-06-22,완료
6705,열차정보서비스 승인에 관해 질문드립니다.,정***,2015-06-19,완료
6702,축산물 품질평가원 데이터,이***,2015-06-19,완료
6700,건설 일용 인부 단가 요청,고***,2015-06-18,완료
6699,생활기상지수 신청했는데요 언제쯤 활용할 수 있나요,이***,2015-06-18,완료
6696,축산물통합이력정보제공 재 문의,박***,2015-06-18,완료
6693,관측소 데이터 조회 실패,박***,2015-06-17,완료
